"region_erm_id","department_id"
"1","14"
"1","21"
"1","26"
"1","27"
"1","28"
"1","36"
"1","45"
"1","51"
"1","54"
"1","57"
"1","62"
"1","77"
"2","2"
"2","8"
"2","10"
"2","52"
"2","60"
"2","63"
"2","81"
"2","90"
"3","20"
"3","24"
"3","40"
"3","53"
"3","55"
"3","56"
"3","58"
"3","68"
"3","69"
"3","71"
"3","72"
"3","89"
"3","91"
"4","1"
"4","7"
"4","25"
"4","39"
"4","70"
"4","74"
"4","75"
"5","9"
"5","11"
"5","12"
"5","31"
"5","32"
"5","35"
"5","47"
"5","67"
"5","82"
"5","83"
"6","4"
"6","5"
"6","6"
"6","13"
"6","84"
"6","85"
"7","3"
"7","15"
"7","18"
"7","19"
"7","22"
"7","23"
"7","37"
"7","43"
"7","44"
"7","49"
"7","59"
"7","64"
"7","88"
"8","38"
"8","42"
"8","46"
"8","50"
"8","73"
"8","80"
"8","86"
"8","87"
"9","76"
"9","78"
"9","79"
"9","93"
"9","94"
"9","95"
"9","96"
